 # Jupiter model, Ptrans=7 Mbar, rock core 
 # m/Mp         P (GPa)    r/Rmean   T(K)   rho(g/ccm)
 0.9998198279   0.140213   0.99060  1437.2  0.0238774 
 0.9998171679   0.142304   0.99055  1443.1  0.0241037 
 0.9998144831   0.144414   0.99050  1449.1  0.0243309 
 0.9998117733   0.146545   0.99045  1455.0  0.0245591 
 0.9998090384   0.148696   0.99040  1460.9  0.0247882 
 0.9998062784   0.150867   0.99035  1466.8  0.0250183 
 0.9998034931   0.153059   0.99030  1472.7  0.0252470 
 0.9998006829   0.155270   0.99025  1478.5  0.0254740 
 0.9997978478   0.157502   0.99020  1484.3  0.0257018 
 0.9997949878   0.159754   0.99015  1490.0  0.0259305 
 0.9997921026   0.162025   0.99010  1495.8  0.0261600 
 0.9997891922   0.164318   0.99005  1501.6  0.0263903 
 0.9997862567   0.166630   0.99000  1507.4  0.0266215 
 0.9997832957   0.168964   0.98995  1513.1  0.0268535 
 0.9997803093   0.171317   0.98990  1518.9  0.0270863 
 0.9997772974   0.173691   0.98985  1524.6  0.0273199 
 0.9997742599   0.176086   0.98980  1530.3  0.0275544 
 0.9997711967   0.178502   0.98975  1536.1  0.0277896 
 0.9997681077   0.180939   0.98970  1541.8  0.0280257 
 0.9997649929   0.183396   0.98965  1547.5  0.0282625 
 0.9997618521   0.185874   0.98960  1553.3  0.0284998 
 0.9997586854   0.188374   0.98955  1559.0  0.0287378 
 0.9997554926   0.190894   0.98950  1564.7  0.0289766 
 0.9997522737   0.193436   0.98945  1570.5  0.0292163 
 0.9997490285   0.195999   0.98940  1576.2  0.0294568 
 0.9997457570   0.198583   0.98935  1581.9  0.0296980 
 0.9997424591   0.201189   0.98930  1587.6  0.0299400 
 0.9997391348   0.203816   0.98925  1593.4  0.0301826 
 0.9997357840   0.206464   0.98920  1599.1  0.0304261 
 0.9997324065   0.209135   0.98915  1604.8  0.0306703 
 0.9997290023   0.211826   0.98910  1610.6  0.0309153 
 0.9997255713   0.214540   0.98905  1616.3  0.0311611 
 0.9997221135   0.217275   0.98900  1622.0  0.0314077 
 0.9997186287   0.220033   0.98895  1627.7  0.0316551 
 0.9997151170   0.222812   0.98890  1633.4  0.0319012 
 0.9997115784   0.225613   0.98885  1639.1  0.0321480 
 0.9997080129   0.228436   0.98880  1644.8  0.0323957 
 0.9997044203   0.231281   0.98875  1650.4  0.0326440 
 0.9997008006   0.234148   0.98870  1656.1  0.0328931 
 0.9996971538   0.237037   0.98865  1661.8  0.0331429 
 0.9996934796   0.239949   0.98860  1667.4  0.0333935 
 0.9996897781   0.242882   0.98855  1673.1  0.0336449 
 0.9996860492   0.245838   0.98850  1678.7  0.0338969 
 0.9996822928   0.248817   0.98845  1684.4  0.0341497 
 0.9996785089   0.251818   0.98840  1690.0  0.0344033 
 0.9996746973   0.254841   0.98835  1695.6  0.0346576 
 0.9996708580   0.257887   0.98830  1701.2  0.0349126 
 0.9996669908   0.260956   0.98825  1706.8  0.0351683 
 0.9996630958   0.264047   0.98820  1712.5  0.0354248 
 0.9996591731   0.267162   0.98815  1717.9  0.0356773 
 0.9996552230   0.270298   0.98810  1723.4  0.0359281 
 0.9996512457   0.273457   0.98805  1728.8  0.0361794 
 0.9996472410   0.276638   0.98800  1734.2  0.0364314 
 0.9996432089   0.279842   0.98795  1739.6  0.0366839 
 0.9996391493   0.283068   0.98790  1745.0  0.0369371 
 0.9996350621   0.286317   0.98785  1750.4  0.0371909 
 0.9996309474   0.289588   0.98780  1755.8  0.0374452 
 0.9996268050   0.292882   0.98775  1761.2  0.0377002 
 0.9996226349   0.296199   0.98770  1766.5  0.0379558 
 0.9996184370   0.299538   0.98765  1771.9  0.0382120 
 0.9996142112   0.302901   0.98760  1777.3  0.0384688 
 0.9996099576   0.306286   0.98755  1782.7  0.0387260 
 0.9996056760   0.309694   0.98750  1788.1  0.0389838 
 0.9996013664   0.313126   0.98745  1793.5  0.0392421 
 0.9995970288   0.316580   0.98740  1798.9  0.0395011 
 0.9995926630   0.320057   0.98735  1804.2  0.0397606 
 0.9995882691   0.323558   0.98730  1809.6  0.0400194 
 0.9995838472   0.327081   0.98725  1815.0  0.0402782 
 0.9995793972   0.330628   0.98720  1820.4  0.0405376 
 0.9995749190   0.334198   0.98715  1825.7  0.0407975 
 0.9995704127   0.337791   0.98710  1831.1  0.0410580 
 0.9995658781   0.341408   0.98705  1836.4  0.0413190 
 0.9995613152   0.345047   0.98700  1841.7  0.0415806 
 0.9995567239   0.348710   0.98695  1847.1  0.0418427 
 0.9995521042   0.352397   0.98690  1852.4  0.0421054 
 0.9995474561   0.356107   0.98685  1857.7  0.0423687 
 0.9995427794   0.359841   0.98680  1863.0  0.0426325 
