 # Jupiter model, Ptrans=2 Mbar, diluted core
 # m/Mp         P (GPa)    r/Rmean   T(K)   rho(g/ccm)
 0.4501951248  1033.067030   0.58612  12867.9  2.1501798 
 0.4468604127  1043.042913   0.58412  12914.4  2.1597466 
 0.4435337384  1053.057803   0.58212  12960.7  2.1693191 
 0.4402152426  1063.111460   0.58012  13006.9  2.1788796 
 0.4369050658  1073.203639   0.57812  13053.0  2.1884280 
 0.4336033474  1083.334094   0.57612  13099.0  2.1979642 
 0.4303102256  1093.502575   0.57412  13144.9  2.2074881 
 0.4270258372  1103.708833   0.57212  13190.7  2.2169998 
 0.4237503175  1113.952618   0.57012  13236.5  2.2264990 
 0.4204838009  1124.233677   0.56812  13282.1  2.2359856 
 0.4172264203  1134.551759   0.56612  13327.6  2.2454598 
 0.4139783072  1144.906609   0.56412  13373.0  2.2549212 
 0.4107395920  1155.297972   0.56212  13418.3  2.2643699 
 0.4075104036  1165.725591   0.56012  13463.6  2.2738058 
 0.4042908698  1176.189211   0.55812  13508.7  2.2832288 
 0.4010811169  1186.688573   0.55612  13553.7  2.2926389 
 0.3978812701  1197.223419   0.55412  13598.7  2.3020358 
 0.3946914530  1207.793488   0.55212  13643.5  2.3114197 
 0.3915117882  1218.398521   0.55012  13688.2  2.3207904 
 0.3883423968  1229.038256   0.54812  13732.9  2.3301478 
 0.3851833987  1239.712433   0.54612  13777.4  2.3394919 
 0.3820349123  1250.420788   0.54412  13821.9  2.3488226 
 0.3788970550  1261.163058   0.54212  13866.2  2.3581398 
 0.3757699425  1271.938980   0.54012  13910.5  2.3674434 
 0.3726536895  1282.748290   0.53812  13954.6  2.3767334 
 0.3695484092  1293.590724   0.53612  13998.7  2.3860098 
 0.3664542136  1304.466016   0.53412  14042.6  2.3952724 
 0.3633712133  1315.373901   0.53212  14086.5  2.4045212 
 0.3602995174  1326.314115   0.53012  14130.2  2.4137600 
 0.3572391343  1337.286748   0.52812  14172.5  2.4231314 
 0.3541900817  1348.291855   0.52612  14214.7  2.4324897 
 0.3511524666  1359.329167   0.52412  14256.7  2.4418349 
 0.3481263948  1370.398414   0.52212  14298.7  2.4511668 
 0.3451119708  1381.499326   0.52012  14340.6  2.4604854 
 0.3421092978  1392.631632   0.51812  14382.4  2.4697906 
 0.3391184777  1403.795063   0.51612  14424.0  2.4790823 
 0.3361396110  1414.989348   0.51412  14465.6  2.4883605 
 0.3331727971  1426.214215   0.51212  14507.1  2.4976251 
 0.3302181339  1437.469394   0.51012  14548.5  2.5068760 
 0.3272757181  1448.754616   0.50812  14589.8  2.5161132 
 0.3243456451  1460.069608   0.50612  14631.0  2.5253365 
 0.3214280090  1471.414102   0.50412  14672.1  2.5345460 
